author,country,continent,prize,year
Kamel Daoud,Algeria,Africa,Prix Goncourt,2024
Han Kang,South Korea,Asia,Nobel Prize in Literature,2024
Shehan Karunatilaka,Sri Lanka,Asia,Booker Prize,2022
Mohamed Mbougar Sarr,Senegal,Africa,Prix Goncourt,2021
Abdulrazak Gurnah,Tanzania,Africa,Nobel Prize in Literature,2021
Marlon James,Jamaica,North America,Booker Prize,2015
Svetlana Alexievitch,Belarus,Europe,Nobel Prize in Literature,2015
Mo Yan,China,Asia,Nobel Prize in Literature,2012
Mario Vargas Llosa,Peru,South America,Nobel Prize in Literature,2010
Tierno Monénembo,Guinea,Africa,Prix Renaudot,2008
Alain Mabanckou,Congo,Africa,Prix Renaudot,2006
Orhan Pamuk,Turkey,Europe,Nobel Prize in Literature,2006
José Saramago,Portugal,Europe,Nobel Prize in Literature,1998
Amin Maalouf,Lebanon,Asia,Prix Goncourt,1993
Derek Walcott,Saint Lucia,North America,Nobel Prize in Literature,1992
Octavio Paz,Mexico,North America,Nobel Prize in Literature,1990
Naguib Mahfouz,Egypt,Africa,Nobel Prize in Literature,1988
René Depestre,Haiti,North America,Prix Renaudot,1988
Jaroslav Seifert,Czech Republic,Europe,Nobel Prize in Literature,1984
Gabriel García Márquez,Colombia,South America,Nobel Prize in Literature,1982
Miguel Ángel Asturias,Guatemala,South America,Nobel Prize in Literature,1967
Samuel Joseph Agnon,Israel,Asia,Nobel Prize in Literature,1966
Ivo Andrić,Serbia,Europe,Nobel Prize in Literature,1961
Halldór Laxness,Iceland,Europe,Nobel Prize in Literature,1955
Frans Emil Sillanpää,Finland,Europe,Nobel Prize in Literature,1939