author,country,prizes_won,prize_names,first_win,last_win
Annie Ernaux,France,2,"Nobel Prize in Literature,Prix Renaudot",1984,2022
Ernest Hemingway,USA,2,"Nobel Prize in Literature,Pulitzer Prize for Fiction",1953,1954
François Weyergans,Belgium,2,"Prix Goncourt,Prix Renaudot",1992,2005
J. M. Coetzee,South Africa,2,"Booker Prize,Nobel Prize in Literature",1983,2003
J. M. G. Le Clézio,France,2,"Nobel Prize in Literature,Prix Renaudot",1963,2008
Kazuo Ishiguro,UK,2,"Booker Prize,Nobel Prize in Literature",1989,2017
Kenzaburō Ōe,Japan,2,"Akutagawa Prize,Nobel Prize in Literature",1958,1994
Nadine Gordimer,South Africa,2,"Booker Prize,Nobel Prize in Literature",1974,1991
Patrick Modiano,France,2,"Nobel Prize in Literature,Prix Goncourt",1978,2014
Philippe Hériat,France,2,"Prix Goncourt,Prix Renaudot",1931,1939
Saul Bellow,USA,2,"Nobel Prize in Literature,Pulitzer Prize for Fiction",1976,1976
Toni Morrison,USA,2,"Nobel Prize in Literature,Pulitzer Prize for Fiction",1988,1993
V. S. Naipaul,UK,2,"Booker Prize,Nobel Prize in Literature",1971,2001
William Faulkner,USA,2,"Nobel Prize in Literature,Pulitzer Prize for Fiction",1949,1963
William Golding,UK,2,"Booker Prize,Nobel Prize in Literature",1980,1983